branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
401,1,7,2,-1,mem,4,95,12,1
402,1,7,3,-1,unused,-1,-1,12,1
403,1,7,4,-1,mem,2,95,12,1
404,1,7,5,-1,unused,-1,-1,12,1
405,1,7,6,-1,mem,1,94,13.2386,1
406,1,7,7,-1,unused,-1,-1,12,1
407,1,7,8,-1,mem,3,94,12,1
408,1,7,9,-1,unused,-1,-1,12,1
409,1,7,10,-1,mem,5,94,12,1
410,1,7,11,-1,unused,-1,-1,12,1
411,1,7,12,-1,mem,4,93,13.183,1
412,1,7,13,-1,unused,-1,-1,12,1
413,1,7,14,-1,mem,2,93,13.0926,1
414,1,7,15,-1,unused,-1,-1,12,1
415,1,7,16,-1,mem,1,92,13.0574,1
416,1,7,17,-1,unused,-1,-1,12,1
417,1,7,18,-1,mem,3,92,13.1953,1
418,1,7,19,-1,unused,-1,-1,12,1
419,1,7,20,-1,mem,5,92,13.104,1
420,1,7,21,-1,unused,-1,-1,12,1
421,1,7,22,-1,mem,4,91,12,1
422,1,7,23,-1,unused,-1,-1,12,1
423,1,7,24,-1,mem,2,91,12,1
424,1,7,25,-1,mem,1,91,12,1
425,1,8,1,-1,unused,-1,-1,12,1
426,1,8,2,-1,mem,2,96,12,1
427,1,8,3,-1,unused,-1,-1,12,1
428,1,8,4,-1,mem,4,96,12,1
429,1,8,5,-1,unused,-1,-1,12,1
430,1,8,6,-1,mem,5,97,12,1
431,1,8,7,-1,unused,-1,-1,12,1
432,1,8,8,-1,mem,3,97,13.0481,1
433,1,8,9,-1,unused,-1,-1,12,1
434,1,8,10,-1,mem,1,97,13.1715,1
435,1,8,11,-1,unused,-1,-1,12,1
436,1,8,12,-1,mem,2,98,13.0768,1
437,1,8,13,-1,unused,-1,-1,12,1
438,1,8,14,-1,mem,4,98,12,1
439,1,8,15,-1,unused,-1,-1,12,1
440,1,8,16,-1,mem,5,99,13.092,1
441,1,8,17,-1,unused,-1,-1,12,1
442,1,8,18,-1,mem,3,99,13.1118,1
443,1,8,19,-1,unused,-1,-1,12,1
444,1,8,20,-1,mem,1,99,13.0991,1
445,1,8,21,-1,unused,-1,-1,12,1
446,1,8,22,-1,mem,2,100,12,1
447,1,8,23,-1,unused,-1,-1,12,1
448,1,8,24,-1,mem,4,100,12,1
449,1,8,25,-1,mem,5,100,12,1
